case_index,word,iq_seen,freq_seen,tracking_seen,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude,tracking_word,phase_error,freq_error,active_cic_rate_r,active_cic_output_shift,cic_illegal_config_seen,cic_overflow_seen
0,0x00029f16b11c,41,39,39,6,0,1,1,1,1,206,0x00029f16b11c,-1900,-104,8,4,0,0
1,0x00053e2d6239,42,40,40,6,0,1,1,1,1,33,0x00053e2d6239,-6336,-444,8,4,0,0
2,0x000a7c5ac472,42,40,40,6,0,1,1,1,1,11,0x000a7c5ac472,23772,1212,8,4,0,0
3,0x001a36e2eb1c,42,37,37,6,0,1,1,1,1,26,0x001a36e2eb1c,-28948,-732,8,4,0,0
4,0x00346dc5d639,42,40,40,6,0,1,1,1,1,43,0x00346dc5d639,-31620,-2672,8,4,0,0
5,0x004ea4a8c155,42,40,40,6,0,1,1,1,1,8,0x004ea4a8c155,32448,20944,8,4,0,0
6,0x0068db8bac71,42,40,40,6,0,1,1,1,1,28,0x0068db8bac71,-2600,28412,8,4,0,0
