index,sample_count,fll_valid_count,input_hz,center_hz,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude
39,3512,40,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b0f83,19859,88312,-1308,0,6,0,1,1,1,1,15574
40,3590,41,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b1205,20497,87660,-1308,0,6,0,1,1,1,1,15573
41,3668,42,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b1483,21130,87004,-1308,0,6,0,1,1,1,1,15573
42,3746,43,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b16fc,21758,86352,-1308,0,6,0,1,1,1,1,15572
43,3824,44,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b1970,22381,85696,-1308,0,6,0,1,1,1,1,15573
44,3902,45,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b1bdf,22999,85044,-1308,0,6,0,1,1,1,1,15573
45,3980,46,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b1e49,23612,84388,-1308,0,6,0,1,1,1,1,15572
46,4058,47,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b20ae,24220,83732,-1312,0,6,0,1,1,1,1,15571
47,4136,48,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b230e,24823,83080,-1308,0,6,0,1,1,1,1,15573
48,4214,49,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b2569,25419,82424,-1308,0,6,0,1,1,1,1,15572
49,4292,50,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b27bd,26011,81768,-1312,0,6,0,1,1,1,1,15571
50,4370,51,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b2a0d,26598,81116,-1308,0,6,0,1,1,1,1,15572
51,4448,52,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b2c58,27180,80460,-1308,0,6,0,1,1,1,1,15572
52,4526,53,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b2e9e,27757,79808,-1308,0,6,0,1,1,1,1,15571
53,4604,54,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b30df,28329,79152,-1308,0,6,0,1,1,1,1,15572
54,4682,55,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b331b,28896,78496,-1312,0,6,0,1,1,1,1,15571
55,4760,56,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b3552,29458,77840,-1312,0,6,0,1,1,1,1,15571
56,4838,57,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b3784,30015,77188,-1308,0,6,0,1,1,1,1,15571
57,4916,58,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b39b1,30565,76532,-1308,0,6,0,1,1,1,1,15571
58,4994,59,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b3bd7,31111,75876,-1312,0,6,0,1,1,1,1,15570
59,5072,60,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b3df9,31652,75224,-1308,0,6,0,1,1,1,1,15571
60,5150,61,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b4016,32188,74568,-1308,0,6,0,1,1,1,1,15570
61,5228,62,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b422e,32719,73916,-1308,0,6,0,1,1,1,1,15570
62,5306,63,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b4441,33245,73260,-1308,0,6,0,1,1,1,1,15570
63,5384,64,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b464f,33766,72604,-1312,0,6,0,1,1,1,1,15570
64,5462,65,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5b4858,34282,71952,-1308,0,6,0,1,1,1,1,15571
