sample_index,output_index,active_rate_r,active_output_shift,i_in,q_in,i_out,q_out,overflow_seen
45,1,8,10,1,-1,1,-1,0
53,2,8,10,1,-1,1,-1,0
61,3,8,10,1,-1,1,-1,0
68,4,8,10,1,-1,1,-1,0
76,5,8,10,1,-1,1,-1,0
125,6,8,10,0,0,42,-22,0
133,7,8,10,0,0,84,-43,0
141,8,8,10,0,0,2,-2,0
149,9,8,10,0,0,0,0,0
214,10,12,11,3,-2,3,-3,0
226,11,12,11,3,-2,3,-3,0
238,12,12,11,3,-2,3,-3,0
