index,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,locked,magnitude
0,0x000a7c5ac472,0x000a7c5ac472,0,0,0,0,2,0,0
1,0x000a7c5ac472,0x000a7c5ac472,0,-16274,-21496,0,4,0,61094
2,0x000a7c5ac472,0x000a7c5ac472,-5374,-16957,-21496,0,4,0,60625
3,0x000a7c5ac472,0x000a7c5aaf74,-10748,-16957,-21496,0,4,0,60625
4,0x000a7c5ac472,0x000a7c5a9a76,-16122,-17639,-21496,0,4,0,60173
5,0x000a7c5ac472,0x000a7c5a8578,-21496,-18309,-21496,0,4,0,59721
6,0x000a7c5ac472,0x000a7c5a707a,-26870,-18968,-21496,0,4,0,59271
7,0x000a7c5ac472,0x000a7c5a5b7c,-32244,-19653,-21496,0,4,0,58780
8,0x000a7c5ac472,0x000a7c5a467e,-37618,-20320,-21496,0,4,0,58318
9,0x000a7c5ac472,0x000a7c5a3180,-42992,-20983,-21496,0,4,0,57869
10,0x000a7c5ac472,0x000a7c5a1c82,-48366,-21673,-21496,0,4,0,57418
11,0x000a7c5ac472,0x000a7c5a0784,-53740,-22340,-21496,0,4,0,56981
12,0x000a7c5ac472,0x000a7c59f286,-59114,-22340,-21496,0,4,0,56981
13,0x000a7c5ac472,0x000a7c59dd88,-64488,-23001,-21496,0,4,0,56538
14,0x000a7c5ac472,0x000a7c59c88a,-69862,-23676,-21496,0,4,0,56094
15,0x000a7c5ac472,0x000a7c59b38c,-75236,-24346,-21496,0,4,0,55661
16,0x000a7c5ac472,0x000a7c599e8e,-80610,-25679,-21496,0,4,0,54805
17,0x000a7c5ac472,0x000a7c598990,-85975,-26358,-21457,0,4,0,54362
18,0x000a7c5ac472,0x000a7c59749b,-91340,-27030,-21457,0,4,0,53922
19,0x000a7c5ac472,0x000a7c595fa6,-96705,-27716,-21457,0,4,0,53514
20,0x000a7c5ac472,0x000a7c594ab1,-102070,-28388,-21457,0,4,0,53115
21,0x000a7c5ac472,0x000a7c5935bc,-107435,-28388,-21457,0,4,0,53115
22,0x000a7c5ac472,0x000a7c5920c7,-112800,-29044,-21457,0,4,0,52710
23,0x000a7c5ac472,0x000a7c590bd2,-118165,-29717,-21457,0,4,0,52270
24,0x000a7c5ac472,0x000a7c58f6dd,-123530,-30392,-21457,0,4,0,51855
25,0x000a7c5ac472,0x000a7c58e1e8,-128895,-31728,-21457,0,4,0,51082
26,0x000a7c5ac472,0x000a7c58ccf3,-134260,-32405,-21457,0,4,0,50660
27,0x000a7c5ac472,0x000a7c58b7fe,-139625,-33073,-21457,0,4,0,50289
28,0x000a7c5ac472,0x000a7c58a309,-144990,-33740,-21457,0,4,0,49883
29,0x000a7c5ac472,0x000a7c588e14,-150355,-34411,-21457,0,4,0,49481
30,0x000a7c5ac472,0x000a7c58791f,-155720,-34411,-21457,0,4,0,49481
31,0x000a7c5ac472,0x000a7c58642a,-161085,-35082,-21457,0,4,0,49134
32,0x000a7c5ac472,0x000a7c584f35,-166450,-35754,-21457,0,4,0,48741
33,0x000a7c5ac472,0x000a7c583a40,-171828,-36435,-21509,0,4,0,48359
34,0x000a7c5ac472,0x000a7c58253e,-177206,-37773,-21509,0,4,0,47603
35,0x000a7c5ac472,0x000a7c58103c,-182584,-38448,-21509,0,4,0,47235
