case_index,index,config_apply,sample_count,fll_valid_count,input_hz,center_hz,center_word,cic_rate_r,cic_shift,tracking_word,freq_state,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude,hybrid_state_before,hybrid_center_word,hybrid_positive_limit,hybrid_negative_limit,hybrid_fll_term,hybrid_i_term,hybrid_p_term
0,28,0,15601,28,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-26886,69892,0,9,6,1,1,1,0,746892,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,29,0,15913,29,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,1276,69892,0,9,6,1,1,1,0,937736,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,30,0,16225,30,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,1276,69892,0,9,6,1,1,1,0,939855,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,31,0,16537,31,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-1276,69892,0,9,6,1,1,1,0,937737,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,32,0,16849,32,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-1276,69892,0,9,6,1,1,1,0,937737,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,33,0,17161,33,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,64260,61208,0,9,6,1,1,1,0,695851,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,34,0,17473,34,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,105500,61208,0,9,6,1,1,1,0,937735,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,35,0,17785,35,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,91108,61208,0,9,6,1,1,1,0,889357,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,36,0,18097,36,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-64260,61208,0,9,6,1,1,1,0,937736,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,37,0,18409,37,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-64260,61208,0,9,6,1,1,1,0,937736,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,38,0,18721,38,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-25572,61208,0,9,6,1,1,1,0,729844,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,39,0,19033,39,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,1276,61208,0,9,6,1,1,1,0,937736,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,40,0,19345,40,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,1276,61208,0,9,6,1,1,1,0,939231,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,41,0,19657,41,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c0630,349460,349460,-1276,61208,0,9,6,1,1,1,0,937737,349460,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
