case_index,index,controller_reacquire,sample_count,fll_valid_count,input_hz,center_hz,center_word,cic_rate_r,cic_shift,tracking_word,freq_state,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude,hybrid_state_before,hybrid_center_word,hybrid_positive_limit,hybrid_negative_limit,hybrid_fll_term,hybrid_i_term,hybrid_p_term
0,28,0,15289,28,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1c33a3,433314,433314,-64260,72219,0,8,6,1,1,1,0,937736,361095,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,29,0,15601,29,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1d4dbe,505533,505533,-26875,72219,0,8,6,1,1,1,0,746709,433314,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,30,0,15913,30,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1e67d9,577752,577752,1276,72219,0,8,6,1,1,1,0,937736,505533,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,31,0,16225,31,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f1f81f4,649971,649971,1276,72219,0,8,6,1,1,1,0,939847,577752,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,32,0,16537,32,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f209c0f,722190,722190,-1276,72219,0,8,6,1,1,1,0,937737,649971,0x00029f16b11c,140737488355327,-140737488355328,72219,0,0
0,33,0,16849,33,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f21b62a,722190,722190,-1276,70821,0,8,6,1,1,1,0,937737,722190,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,34,0,17161,34,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f21b62a,793011,793011,64260,70821,0,8,6,1,1,1,0,695869,722190,0x00029f16b11c,140737488355327,-140737488355328,70821,0,0
0,35,0,17473,35,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f22cacf,863832,863832,105500,70821,0,8,6,1,1,1,0,937735,793011,0x00029f16b11c,140737488355327,-140737488355328,70821,0,0
0,36,0,17785,36,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f23df74,934653,934653,91108,70821,0,8,6,1,1,1,0,890109,863832,0x00029f16b11c,140737488355327,-140737488355328,70821,0,0
0,37,0,18097,37,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f24f419,1005474,1005474,-64260,70821,0,8,6,1,1,1,0,937736,934653,0x00029f16b11c,140737488355327,-140737488355328,70821,0,0
0,38,0,18409,38,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f2608be,1076295,1076295,-64260,70821,0,8,6,1,1,1,0,937736,1005474,0x00029f16b11c,140737488355327,-140737488355328,70821,0,0
0,39,0,18721,39,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f271d63,1076295,1076295,-25572,70821,0,7,6,1,1,1,0,728441,1076295,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,40,0,19033,40,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f271d63,1076295,1076295,1276,70821,0,7,6,1,1,1,0,937736,1076295,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,41,0,19345,41,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f271d63,1076295,1076295,1276,70821,0,7,6,1,1,1,0,939160,1076295,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
0,42,0,19657,42,6000.000000,5000.000000,0x00029f16b11c,312,19,0x00029f271d63,1076295,1076295,-1276,70821,0,7,6,1,1,1,0,937737,1076295,0x00029f16b11c,140737488355327,-140737488355328,0,0,0
