name,type,start_time,duration,"data","ack","address","read"
"Async Serial [1]","data",0.09738325,9.5e-06,0xB1,,,
"Async Serial [1]","data",0.09739325,9.5e-06,0x04,,,
"Async Serial [1]","data",0.09740325,9.5e-06,0x00,,,
"Async Serial [1]","data",0.09741325,9.5e-06,0x00,,,
"Async Serial [1]","data",0.09742325,9.5e-06,0xFC,,,
"Async Serial [1]","data",0.09743325,9.5e-06,0xB3,,,
"Async Serial","data",0.09747425,9.5e-06,0xB2,,,
"Async Serial","data",0.0974843125,9.5e-06,0x00,,,
"Async Serial","data",0.0974944375,9.5e-06,0x01,,,
"Async Serial","data",0.0975045625,9.5e-06,0x03,,,
"Async Serial","data",0.0975146875,9.5e-06,0xFC,,,
"Async Serial","data",0.0975248125,9.5e-06,0xB3,,,
"I2C","start",0.136889437,6.25e-08,,,,
"I2C","address",0.136892,2.33125e-05,,true,0x25,false
"I2C","stop",0.13692225,6.25e-08,,,,
"I2C","start",0.136927313,6.25e-08,,,,
"I2C","address",0.136929875,2.325e-05,,true,0x25,false
"I2C","data",0.136958625,2.3125e-05,0x00,true,,
"I2C","start",0.136987375,6.25e-08,,,,
"I2C","address",0.13699,2.325e-05,,true,0x25,true
"I2C","data",0.137023438,2.31875e-05,0xA5,true,,
"I2C","data",0.137048063,2.325e-05,0x03,false,,
"I2C","stop",0.137074312,6.25e-08,,,,
"I2C","start",0.137080188,6.25e-08,,,,
"I2C","address",0.137082813,2.325e-05,,true,0x25,false
"I2C","data",0.1371115,2.31875e-05,0x40,true,,
"I2C","start",0.137140188,6.25e-08,,,,
"I2C","address",0.137142812,2.325e-05,,true,0x25,true
"I2C","data",0.13717625,2.325e-05,0x00,false,,
"I2C","stop",0.1372025,6.25e-08,,,,
"I2C","start",0.13720775,6.25e-08,,,,
"I2C","address",0.137210375,2.325e-05,,true,0x25,false
"I2C","data",0.137239125,2.325e-05,0x00,true,,
"I2C","start",0.13726775,6.25e-08,,,,
"I2C","address",0.137270375,2.325e-05,,true,0x25,true
"I2C","data",0.137303875,2.31875e-05,0xA5,true,,
"I2C","data",0.137328563,2.325e-05,0x03,true,,
"I2C","data",0.137353312,2.325e-05,0x00,true,,
"I2C","data",0.137378063,2.325e-05,0x00,true,,
"I2C","data",0.137402812,2.325e-05,0x28,true,,
"I2C","data",0.1374275,2.325e-05,0xEF,true,,
"I2C","data",0.13745225,2.325e-05,0x5B,true,,
"I2C","data",0.137477,2.325e-05,0x00,true,,
"I2C","data",0.13750175,2.325e-05,0x03,true,,
"I2C","data",0.1375265,2.325e-05,0x00,true,,
"I2C","data",0.137551188,2.33125e-05,0x00,true,,
"I2C","data",0.137575938,2.325e-05,0x00,true,,
"I2C","data",0.137600688,2.325e-05,0x40,true,,
"I2C","data",0.137625438,2.325e-05,0x0D,true,,
"I2C","data",0.137650187,2.325e-05,0x03,true,,
"I2C","data",0.137674938,2.325e-05,0x00,true,,
"I2C","data",0.137699625,2.325e-05,0x01,true,,
"I2C","data",0.137724375,2.325e-05,0x00,true,,
"I2C","data",0.137749125,2.325e-05,0x01,true,,
"I2C","data",0.137773875,2.325e-05,0x00,true,,
"I2C","data",0.137798562,2.33125e-05,0x80,true,,
"I2C","data",0.137823312,2.325e-05,0x8D,true,,
