index,sample_count,fll_valid_count,input_hz,center_hz,center_word,tracking_word,freq_correction,phase_error,freq_error,freq_error_valid,loop_state,loss_reason,signal_present,phase_locked,frequency_locked,locked,magnitude
0,0,0,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,0,0,0,2,0,0,0,0,0,0
1,1717,1,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
2,1795,2,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
3,1873,3,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
4,1951,4,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
5,2029,5,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
6,2107,6,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
7,2185,7,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
8,2263,8,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
9,2341,9,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
10,2419,10,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
11,2497,11,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
12,2575,12,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
13,2653,13,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
14,2731,14,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
15,2809,15,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
16,2887,16,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,4262,0,3,0,1,1,1,0,937737
17,2965,17,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
18,3043,18,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
19,3121,19,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
20,3199,20,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
21,3277,21,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
22,3355,22,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
23,3433,23,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
24,3511,24,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
25,3589,25,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
26,3667,26,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
27,3745,27,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
28,3823,28,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
29,3901,29,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
30,3979,30,20100.000000,20000.000000,0x000a7c5ac472,0x000a7c5ac472,0,-1276,0,0,4,0,1,1,1,0,937737
